views,comments,AFRAID,AMUSED,ANGRY,ANNOYED,DONT_CARE,HAPPY,INSPIRED,SAD
5570544,220,0.096911579,0.119959649,0.11449882,0.130772175,0.134895546,0.108396792,0.189267002,0.105298437
1520908,114,0.098882894,0.125504287,0.115689259,0.133030643,0.128711104,0.103273123,0.190720824,0.104187866
2138907,88,0.089690765,0.12606125,0.112236655,0.129946945,0.136752692,0.109167503,0.194583423,0.101560767
680134,130,0.107934481,0.113982332,0.121575104,0.131506168,0.125852834,0.106377136,0.180380217,0.112391728
690928,49,0.106259791,0.124965899,0.116529418,0.125638859,0.124433284,0.105141884,0.187999507,0.109031359
1762302,86,0.087310896,0.124553705,0.113734387,0.135292635,0.139421391,0.105778101,0.193614751,0.100294134
1392010,107,0.100300767,0.118517106,0.114557199,0.132157316,0.128462601,0.106151206,0.195798389,0.104055416
660909,50,0.104154791,0.115247004,0.120858732,0.133799573,0.127114902,0.108717477,0.186603326,0.103504196
867495,78,0.089473257,0.119842065,0.11614709,0.133511713,0.135903069,0.105239909,0.194265958,0.10561694
395769,40,0.093233572,0.112931511,0.11794565,0.13142879,0.13175336,0.111815745,0.193801081,0.107090292
761930,27,0.094025101,0.120663724,0.115606627,0.133999703,0.132156434,0.106276425,0.197023971,0.100248014
1149090,84,0.089248349,0.124005131,0.117557529,0.1338786,0.134390627,0.107622444,0.187724775,0.105572546
762264,131,0.10193469,0.118541137,0.112441591,0.13370495,0.126722956,0.105005845,0.197034074,0.104614757
1920434,127,0.102239843,0.12274622,0.111758762,0.127933436,0.125806099,0.106767963,0.19729977,0.105447905
560904,34,0.12722832,0.131140861,0.115631865,0.124293331,0.112754718,0.101023581,0.182830226,0.105097098
606311,47,0.090711904,0.126036586,0.114519389,0.139010511,0.137054616,0.110029743,0.186065862,0.09657139
2197377,335,0.095928435,0.125727756,0.115119833,0.129452512,0.130606505,0.107877926,0.192711663,0.10257537
1697185,143,0.115980607,0.121795828,0.108702304,0.121993453,0.125608178,0.105600125,0.189107547,0.111211957
1115081,57,0.114453917,0.121460172,0.113960252,0.124032279,0.126120761,0.109036348,0.177165009,0.113771262
591379,39,0.080144542,0.144275252,0.083468091,0.130218697,0.142216921,0.12671457,0.194583003,0.098378925
398713,34,0.096063888,0.125559004,0.111906084,0.129359676,0.137360095,0.106770902,0.185532651,0.107447701
2676717,501,0.091673266,0.127088399,0.11296443,0.134390251,0.132125069,0.105474131,0.195421299,0.100863155
4165572,296,0.088286052,0.119485047,0.111524915,0.132830278,0.135181948,0.110183375,0.199383577,0.103124807
1426390,231,0.108869552,0.110157225,0.124592522,0.131127144,0.120909674,0.106462043,0.186313643,0.111568197
754700,58,0.099654444,0.118603207,0.121389289,0.133684452,0.127474831,0.10548602,0.18126861,0.112439148
643078,58,0.096030649,0.120071468,0.113224852,0.128935435,0.138499081,0.10816898,0.18322168,0.111847856
513672,75,0.084720497,0.116406753,0.103418144,0.126846706,0.14506046,0.104194265,0.204756306,0.11459687
428351,50,0.095538416,0.122525653,0.111582875,0.129311203,0.131621463,0.110715841,0.192435902,0.106268646
616385,588,0.101052187,0.111559272,0.122846477,0.136841577,0.124801889,0.099062761,0.19170424,0.112131597
4374792,6404,0.096892113,0.118954382,0.125335147,0.142540619,0.126038273,0.100914721,0.189845728,0.099479017
609087,49,0.10419554,0.118176136,0.11418489,0.134004019,0.133003693,0.107194181,0.1862456,0.10299594
443180,39,0.105024304,0.155492211,0.091613077,0.129806271,0.138664384,0.105675431,0.172179673,0.101544649
904520,42,0.10404014,0.118318264,0.11424845,0.132072607,0.13228846,0.111817807,0.181700016,0.105514257
717002,67,0.129187957,0.106447093,0.104747151,0.106956348,0.13145386,0.10519626,0.164067726,0.151943604
1451846,56,0.092293125,0.118459277,0.117070559,0.135919079,0.13483888,0.10729605,0.190647482,0.103475548
577502,72,0.090469923,0.117804752,0.104969529,0.122229533,0.136165993,0.101812549,0.197136381,0.129411341
1683456,328,0.101886035,0.112195619,0.121569566,0.134091455,0.126818566,0.105011322,0.187698254,0.110729181
779873,32,0.096367759,0.122370525,0.110794411,0.12940461,0.135332436,0.113906585,0.189976186,0.101847488
940913,99,0.107344889,0.10592626,0.121122225,0.132265413,0.12536655,0.113109854,0.17874411,0.116120698
